Movie Name,Release Year,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age,dif,image_url
Magic Mike,2012,Steven Soderbergh,0,Channing Tatum,man,1980-04-26,32,Olivia Munn,woman,1980-07-03,32,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/magic-mike.jpg
Me Before You,2016,Thea Sharrock,0,Sam Claflin,man,1986-06-27,30,Emilia Clarke,woman,1986-10-23,30,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/me-before-you.jpg
Mona Lisa Smile,2003,Mike Newell,0,Ebon Moss-Bachrach,man,1978-08-17,25,Ginnifer Goodwin,woman,1978-05-22,25,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/mona-lisa-smile.jpg
Red Riding Hood,2011,Catherine Hardwicke,0,Shiloh Fernandez,man,1985-02-26,26,Amanda Seyfried,woman,1985-12-03,26,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/red-riding-hood.jpg
She's Out of My League,2010,Jim Field Smith,0,Jay Baruchel,man,1982-04-09,28,Alice Eve,woman,1982-02-06,28,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/she's-out-of-my-league.jpg
Slackers,2002,Dewey Nicks,0,Jason Segel,man,1980-01-18,22,Laura Prepon,woman,1980-03-07,22,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/slackers.jpg
Soul Food,1997,George Tillman Jr.,0,Michael Beach,man,1963-10-30,34,Vanessa Williams,woman,1963-03-18,34,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/soul-food.jpg
Spanglish,2004,James L. Brooks,0,Adam Sandler,man,1966-09-09,38,Tea Leoni,woman,1966-02-25,38,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/spanglish.jpg
Speed,1994,Jan de Bont,0,Keanu Reeves,man,1964-09-02,30,Sandra Bullock,woman,1964-07-26,30,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/speed.jpg
The Crush,1993,Alan Shapiro,0,Cary Elwes,man,1962-10-26,31,Jennifer Rubin,woman,1962-04-03,31,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/the-crush.jpg
The Holiday,2006,Nancy Meyers,0,Jude Law,man,1972-12-29,34,Cameron Diaz,woman,1972-08-30,34,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/the-holiday.jpg
The Hunger Games Catching Fire,2013,Francis Lawrence,0,Liam Hemsworth,man,1990-01-13,23,Jennifer Lawrence,woman,1990-08-15,23,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/the-hunger-games-catching-fire.jpg
Transformers,2007,Michael Bay,0,Shia LaBeouf,man,1986-06-11,21,Megan Fox,woman,1986-05-16,21,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/transformers.jpg
X-Men First Class,2015,Matthew Vaughn,0,James McAvoy,man,1979-04-21,36,Rose Byrne,woman,1979-07-24,36,0,https://raw.githubusercontent.com/malbasi/hollywood-age-gap/master/movie-posters/x-men-first-class.jpg
